,기업명,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL
36,이큐브랩 (Ecube Labs),"서울특별시 구로구 디지털로 300, A동 13층",소프트웨어 엔지니어,"#자격요건, 만5년이상의Back, end개발경험또는이에준하는지식보유, Node.js,TypeScript를이용한개발경험보유, CoAP,MQTT에대한이해보유, LPWAN(NB, IoT,LoRaWAN)환경을위한IoT통신서버개발경험보유, MQTTBrokerServer개발경험보유, ProtocolBuffer를이용한통신서버개발경험보유, gRPC를이용한IoT기기와서버간의통신경험보유",5,"## 우대사항, - The Things Stack 과 같은 LoRaWAN 플랫폼을 이용한 IoT 통신 서버 개발 경험 보유, - NB-IoT 중계 플랫폼을 이용한 IoT 통신 서버 개발 경험 보유, - 자체적인 프로토콜을 이용해 IoT 통신 서버 개발 경험 보유",https://www.wanted.co.kr/wd/115293
37,크래프트테크놀로지스,서울특별시 영등포구 여의대로 108 파크원 타워2(NH금융타워) 27층,소프트웨어 엔지니어,"프로젝트의초기설정/빌드/완성까지전체과정을직접경험해보신분•백엔드개발5년이상혹은그에준하는역량을보유하신분•상급이상의Python및SWEngineering역량•CI/CD에대한이해와경험•AWS및리눅스서버에대한주요개념,관리및유지보수경험•금융상품및투자에대한이해또는경험•높은책임감을가지고주도적으로일을리드하는분",5,"• 대용량 금융데이터 Pipeline에 대한 이해와 경험, • Docker, K8S 등 DevOps에 대한 이해와 경험, • Kubeflow, MLflow 등 MLOps에 대한 이해와 경험, • Airflow, Flyte 등 DataOps에 대한 이해와 경험, • Machine Learning 및 Deep Learning 모델링에 대한 이해와 경험",https://www.wanted.co.kr/wd/201728
38,파킹허브,"서울 구로구 디지털로 300 (구로동, 지밸리비즈플라자)",소프트웨어 엔지니어,"만8년이상의백엔드개발경력을보유하신분•무중단서비스에대한이해도가높고,대용량트래픽처리에대한이해및서비스경험이있으신분•PublicCloud기반환경에서의서비스설계,구축및운영경험이있으신분•전체SDLC(소프트웨어생명주기)에대한경험이있으신분•데이터베이스스키마설계에대한깊은이해를가지신분•Linux관리운영경험이있으신분•Java+Springframework전문성을보유하신분•RESTfulAPI설계및개발/운영경험이있으신분•프로젝트리딩경험이있으신분",8,"•  서비스를 설계부터 론칭 및 운영까지 경험이 있으신 분, •  대용량 트래픽 서비스의 설계 및 개발 경험이 있으신 분, •  문제를 정의하고, 해결하는 것에 재미를 느끼시는 분, •  테스트 자동화, 빌드 자동화 설계 및 운영 경험이 있으신 분, •  직군과 관계없이 어울릴 수 있고, 적극적인 커뮤니케이션을 하려고 노력하는 분",https://www.wanted.co.kr/wd/197460
39,하이,서울특별시 성동구 성수동1가 72-71 2층,소프트웨어 엔지니어,"런분과함께하고싶어요•Solidity,Rust중1개언어경력3년이상•EVM,Solana,Tron등메인넷중노드운영가능한분•Assembly언어가능한분",3,"이런 분이면 더 좋아요, • AWS Lambda 서버리스 컴퓨팅 서비스를 사용해 서비스를 운영한 경험이 있으신 분, • 깃,깃허브 등 버전관리 서비스 사용가능한 분, • Truffle, Hardhat, Foundry 등 을 이용하여 테스트 코드 작성 가능한 자, • 디파이 서비스 개발 경험, • 코드 리뷰 등을 통해 개발 문화를 개선해나가고 싶으신 분, • 자유롭게 의견이나 피드백을 주고받는 등 커뮤니케이션이 원활하신 분",https://www.wanted.co.kr/wd/201003
40,씨드로닉스,"강남구 테헤란로20길 20, 삼정빌딩 3층",소프트웨어 엔지니어,프로젝트관리직무관련5년이상경력자•공학석사학위이상소지자,3,"• 기술기반 (AI 등) 제품/솔루션 경험자, • 국제 규격의 공인인증 경험자",https://www.wanted.co.kr/wd/198706
41,와이즈버즈(wisebirds),"경기도 성남시 수정구 금토로 69, 다우디지털스퀘어 5층",소프트웨어 엔지니어,"유관경력6년이상혹은이에준하는경력과실력을갖추신분•Java/KotlinSpringFramework사용경험자•RESTfulAPI설계및개발경험이있으신분•RDBMS,NoSQL를활용한개발/운영경험",6,"• 컴퓨터공학 또는 유관 전공 졸업자 , • Micro Service Architecture에 대한 이해도가 있는 분, • Agile 기반의 소프트웨어 개발자 (DevOps)",https://www.wanted.co.kr/wd/171162
42,플루고코리아,"서울특별시 강남구 테헤란로 26길 14, 7층",소프트웨어 엔지니어,"3년이상5년이하의백엔드개발경력이있는분•Golang또는Typescript를활용한개발경험이있는분•AWS클라우드서비스에대한기본적인이해와AWSEKS,CDK등의사용경험이있는분•비즈니스레벨의영어커뮤니케이션이가능한분",3,"• 마이크로서비스 아키텍처와 Kubernetes 환경에 대한 기본적인 이해가 있는 분, • Provisioned service와 On-demand service의 장단점에 대한 이해가 있는 분, • Kinesis, SNS FIFO, SQS FIFO, DynamoDB, Aurora Serverless v2 경험이 있는 분",https://www.wanted.co.kr/wd/168579
43,에스티씨랩(STCLab),서울특별시 강남구 봉은사로37길 5 (캠프지) 2층,소프트웨어 엔지니어,"3년이상의개발경험이있으신분•Java,C++,Golang,Rust중하나이상의언어를잘다루시는분•Rust에관심이있으신분•Kubernetes,AWS등클라우드환경에관심이있으신분•팀과의협업을통해공동목표를달성하는것을즐기며,뛰어난커뮤니케이션기술을가지신분•최신업계동향과기술을학습하고기술역량확장에열심히노력하시는분",3,"• 컴퓨터 관련 학과를 전공하신 분, • C++, Go, Rust와 같은 언어 경험이 있으신 분, • AWS 인프라 경험이 있으신 분, , [채용 전형], 서류 전형 -＞ 과제 전형 -＞ 실무/경영진 인터뷰 -＞ 최종 합격, , [유의사항] , • 정규직의 경우, 3개월의 수습기간이 적용됩니다., • 수습 기간 동안 급여는 100% 지급되며 평가에 따라 수습이 연장되거나 종료될 수 있습니다., • 채용 진행 과정에서 제출한 이력서·증빙자료 등에서 사실과 다른 정보 및 허위 기재 사항이 발견될 시 합격이 취소될 수 있습니다.",https://www.wanted.co.kr/wd/199780
44,하이,서울특별시 성동구 성수동1가 72-71 2층,소프트웨어 엔지니어,ypeScript를사용한Express프레임워크기반백엔드개발경험이있으신분RDBMS에대한이해도가준수하고PostgreSQL사용경험이있으신분AWS를통한인프라및CI/CD프로세스를구축한경험이있는분블록체인분야에관심이많고스마트컨트랙트를연결해본경험이있는분,5,"AWS Lambda 서버리스 컴퓨팅 서비스를 사용해 서비스를 운영한 경험이 있으신 분, Redis 또는 Memcached와 같은 인메모리 데이터베이스를 통한 성능 개선 경험이 있으신 분, 유닛 테스트, 통합 테스트 코드 작성 경험이 있으신 분, WebSocket을 통한 실시간 서비스 구축 경험이 있으신 분, 코드 리뷰 등을 통해 개발 문화를 개선해나가고 싶으신 분, 자유롭게 의견이나 피드백을 주고받는 등 커뮤니케이션이 원활하신 분",https://www.wanted.co.kr/wd/193517
45,누비랩,서울특별시 강남구 테헤란로 625 덕명빌딩 6층,소프트웨어 엔지니어,"이런동료를찾고있어요]•성장하는스타트업에서개발팀을리드해본경험이있으신분•웹서비스(Front, end,Back, end)개발경력이최소5년이상이신분•비즈니스및고객,프로덕트에대한이해도와공감대가높으신분#FocusonCustomer•팀개발문화를발전시키는데관심이있고,팀원의성장을적극적으로이끌수있는분#FastFail&FastLearn•개발자간뿐만아니라타팀과의원활한커뮤니케이션능력을갖추신분#OneTeam",5,"[이런 경험이 있다면 더 좋아요], • 대용량 트래픽 처리를 경험해본 적이 있으신 분, • AI 스타트업에서 재직해본 경험이 있으신 분, • 시스템 아키텍처 설계에 능하신 분, • 조직문화 형성을 위한 활동에 참여해 본 경험이 있으신 분, , [기술 스택], ※ 누비랩 개발팀에서 사용하는 주된 기술입니다., • AI : Cognitive AI, Image Segmentation, LLM, LMM, MLOps, • 3D : Open3d, PCL(Point Cloud Library), • Front-end: TypeScript, React, Next.js, React Native, • Back-end: Node.js, Javascript(ES6+), Nest.js, Express, Sequelize (ORM), MySQL, • AWS, Docker, EKS, GitOps, • Github, Slack, Notion, Jira, Figma, Framer, , [근무 조건은 다음과 같아요], • 근무형태 : 정규직 (프로베이션 기간 3개월 / 급여 100% 지급), • 근무지 : 서울특별시 강남구 테헤란로 625 덕명빌딩 6층 (삼성역 도보 3분), • 근무요일/시간: 주 5일(월~금) / 주 40시간(7시 30분-10시 30분), • 처우 및 보상 : 개인의 역량, 경험을 바탕으로 인터뷰 후 협의해요, , [채용 절차], 1. 채용 프로세스 : 입사지원 ＞ 전화 인터뷰 ＞ 직무 인터뷰 ＞ 레퍼런스 체크 & 컬쳐 인터뷰 ＞ 처우 협의 ＞ 합류, • 직무 인터뷰에 합격하실 경우, 레퍼런스 체크 및 컬쳐 인터뷰 결과를 종합적으로 고려하여 처우 협의 진행 여부를 결정합니다. , • 컬쳐 인터뷰 진행 여부 결정에 영향을 주지 않는 점 참고해주세요., , 2. 서류 안내, • 이력서 (필수), • 포트폴리오, 깃허브 주소 (선택), • 안내 사항 : 모든 서류는 PDF 형식 또는 링크로 제출해주세요., , 3. 인터뷰 안내, • 전화 인터뷰 : HR Lead와 1:1로 진행하는 전화 인터뷰로 최대 30분 소요됩니다. 전화 인터뷰에서는 지원 동기를 비롯한 경력 사항 확인, 앞으로 기대하시는 바 등을 질문 드리게 됩니다., • 직무 인터뷰 : 실무진과 진행하는 대면 인터뷰로, 60분 가량 소요됩니다. 지원 서류를 기반으로 수행했던 업무 및 프로젝트에 대해 중점적으로 이야기 나누는 자리입니다. 어떤 문제를 어떻게 해결하였는지, 무엇을 새롭게 시도해 보았는지, 수행 과정에서 어려웠던 점은 무엇이고 이를 어떻게 극복하였는지 이야기 나누는 시간이 되겠습니다., • 레퍼런스 체크 : 후보자의 보유 역량을 다각도로 리뷰하고자 스펙터라는 플랫폼을 사용하여 진행합니다. , • 컬쳐 인터뷰 : 누비랩 오피스에서 진행하는 대면 인터뷰이며, CEO 및 HR 총괄 리더가 참석합니다. 업무 경험을 비롯해 누비랩 조직 문화와 일하는 방식 등 전반적인 핏에 대해 좀 더 깊은 이야기를 나누는 시간입니다. , , ※ 전형 절차는 내부 상황에 따라 변동 될 수 있습니다., ※ 지원서 내용 중 허위 사실이 있는 경우 합격이 취소될 수 있습니다.",https://www.wanted.co.kr/wd/195209
46,한국모바일결제,"서울시 강남구 테헤란로2길 27, 비전타워 15층",소프트웨어 엔지니어,"Node.js백엔드개발경험이3년이상경력개발자모집•MySQL사용이능숙하신분•하나이상의언어를능숙하게다루는분•클린코드,좋은설계를위한고민을해보신분•안정적으로운영되는서비스를개발해보신분",5,"• AWS/GCP 등의 클라우드 환경에서 서비스 구축/운영 경험이 있으신 분, • 스스로한 설계를 팀원에게 설득하고 프로젝트를 진행해보신 분, • 코드리뷰 환경에서 치열한 논의를 해보신 분, • 높은 수준의 커버리지와 Test Double을 활용하여 테스트를 작성해보신 분, • 빠르게 성장하는 팀에서 엔지니어링 팀에 기여한 분, • 긍정적인 커뮤니케이션을 통해 협업이 가능하신 분, • 다수의 유저가 이용하는 앱 서비스 운영 경험이 있으신 분, • socket.io, redis 개발 경험이 있으신 분, • MySQL/MariaDB, MongoDB 사용 경험이 있으신 분, • 키오스크 결제 서비스, O2O, 플랫펌 서비스, 앱서비스에 관심이 있으신 분",https://www.wanted.co.kr/wd/191694
47,브라운백,서울특별시 서초구 반포대로20길 45 (서초동) 브라운백베이스캠프,소프트웨어 엔지니어,"이런경험을보유한분을모십니다.]•S/W엔지니어실무경력7년이상•S/W와H/W접목된프로덕트개발경험•클라우드기반통신프로덕트개발참여경험•다른직무(특히PO,PM,ProductDesigner)와의원활한커뮤니케이션능력•데이터구조및알고리즘에대한깊은이해•B2B제품개발및운영경험※테크스택, Kotlin,Java,Springboot,PostgreSQL,Redis,React,Android,C,AWS",7,"[이런 경험을 보유하셨다면 감사합니다.], , • 컴퓨터 과학 또는 관련 전공, • SW엔니지어 조직 매니징 경험, • 안드로이드 OS 디바이스 MDM 서비스 개발 경험, • 데이터 관련 기술 지식과 경험(추천 알고리즘, 각종 Analytics/Attribution 툴 메커니즘에 대한 이해 및 Integration 경험)",https://www.wanted.co.kr/wd/204235
48,엠포스,서울시 서초구 방배로 285 한샘방배빌딩,소프트웨어 엔지니어,"초대졸이상,내국인•경력:경력3년이상",3,"• 커머스 및 애드테크 도메인 경험이 있는 분, • 테스트 코드 작성을 주도한 경험이 있는 분, • 자기 주도적 업무를 하시는 분, • 개발에 대한 열정이 있는 분",https://www.wanted.co.kr/wd/183327
